lokasi,harga,jenis_properti,jumlah_kamar_tidur,jumlah_kamar_mandi,garasi,luas_tanah,luas_bangunan
"Medan Johor, Medan",20.030118658386467,Rumah,2.0,1.0,0.0,4.553876891600541,3.9318256327243257
"Medan Johor, Medan",20.125428838008972,Rumah,3.0,2.0,0.0,4.51085950651685,4.442651256490317
"Medan Barat, Medan",21.534196053607186,Rumah,4.0,4.0,1.0,4.110873864173311,5.3981627015177525
"Medan Area, Medan",21.12873094572124,Ruko,0.0,2.0,1.0,3.828641396489095,5.293304824724492
"Medan Area, Medan",21.193269466817146,Ruko,0.0,1.0,1.0,4.394449154672439,4.394449154672439
"Medan Selayang, Medan",21.22404112546496,Rumah,2.0,2.0,0.0,4.844187086458591,4.61512051684126
"Medan Helvetia, Medan",19.673443715304877,Rumah,2.0,1.0,1.0,4.795790545596741,4.795790545596741
"Medan Johor, Medan",21.365119723645122,Rumah,4.0,3.0,1.0,5.14166355650266,5.14166355650266
"Medan Sunggal, Medan",21.311052502404085,Rumah,4.0,4.0,0.0,5.993961427306569,5.303304908059076
"Medan Selayang, Medan",19.989296663949546,Rumah,2.0,1.0,1.0,4.110873864173311,3.828641396489095
"Medan Helvetia, Medan",20.863027780191135,Rumah,3.0,2.0,1.0,4.948759890378168,5.25227342804663
"Medan Area, Medan",21.639556569220566,Ruko,0.0,4.0,0.0,4.2626798770413155,4.2626798770413155
