nama,lokasi,harga,jenis_properti,jumlah_kamar_tidur,jumlah_kamar_mandi,garasi,luas_tanah,luas_bangunan
"Jual Ruko Pusat Bisnis di Jl. Kotanopan I, Ps. Baru, Kec. Medan Kota, Kota Medan, Sumatera Utara, Medan Kota","Medan Kota, Medan",Rp 5 Miliar Total,Ruko,,3,,93 m²,93 m²
RUMAH BESAR SEI BATANG SERANGAN MEDAN BARU,"Medan Baru, Medan","Rp 2,1 Miliar",Rumah,6,5,,248 m²,300 m²
RUMAH SEI BERTU MEDAN BARU,"Medan Baru, Medan","Rp 2,1 Miliar",Rumah,4,3,,320 m²,190 m²
RUMAH SEI BATANG SERANGAN MEDAN BARU,"Medan Baru, Medan","Rp 1,95 Miliar",Rumah,4,3,,194 m²,225 m²
Rumah Mewah Dekat Siap Huni Jalan Stm,"Medan Amplas, Medan","Rp 1,35 Miliar",Rumah,4,4,1,130 m²,150 m²
"RUMAH 1,5 TINGKAT SEI BATANG SERANGAN MEDAN BARU","Medan Baru, Medan","Rp 3,95 Miliar",Rumah,5,5,,577 m²,275 m²
RUMAH K. H. A. DAHLAN MEDAN POLONIA,"Medan Polonia, Medan",Rp 24 Miliar,Rumah,5,4,,604 m²,860 m²
Rumah Siap Huni Jalan Tongkol Komplek Hunian Bahagia City Tahap 3,"Medan Area, Medan",Rp 688 Juta,Rumah,2,1,1,78 m²,78 m²
"Lumi Haus, Rumah Impian dengan Desain Luas &Nyaman di Medan Timur","Medan Timur, Medan",Rp 780 Juta,Rumah,2,2,1,66 m²,81 m²
Hunian Bahagia City Tahap 3 Jalan Tongkol Sekitar Thamrin Plaza,"Medan Area, Medan",Rp 688 Juta,Rumah,2,1,1,78 m²,78 m²
Rumah Hunian Bahagia City Tahap 3 Daerah Wahidin Jalan Tongkol,"Medan Area, Medan",Rp 688 Juta,Rumah,2,1,1,78 m²,78 m²
Komplek Hunian Bahagia City Jalan Tangguk Bongkar 1 Daerah Aksara,"Medan Denai, Medan",Rp 738 Juta,Rumah,3,1,1,108 m²,72 m²
Ruko di Setiabudi,"Medan Sunggal, Medan","Rp 1,8 Miliar Total",Ruko,,3,,128 m²,240 m²
Rumah Dijual di Sekitar Masjid Al Jihad,"Medan Baru, Medan","Rp 5,2 Miliar",Rumah,6,4,,326 m²,308 m²
Rumah Hunian Bahagia City Daerah Mandala Jalan Tangguk Bongkar 1,"Medan Denai, Medan",Rp 738 Juta,Rumah,3,1,1,108 m²,72 m²
Dijual rumah hook mewah Tasbi 1,"Medan Selayang, Medan","Rp 4,5 Miliar",Rumah,5,5,,384 m²,500 m²
Dijual rumah tasbi 1,"Medan Selayang, Medan",Rp 4 Miliar,Rumah,5,4,,384 m²,500 m²
Dijual cepat 2 ruko gandeng berhadiah tanah,"Medan Sunggal, Medan","Rp 1,6 Miliar Total",Ruko,,2,,196 m²,120 m²
Dijual rumah hook mewah di Padang Bulan Selayang I,"Medan Selayang, Medan",Rp 8 Miliar,Rumah,7,6,,721 m²,417 m²
"Jual Ruko Jl.serdang Dekat Aksara , Lokasi Strategis Cocok Untuk Buka Toko Ataupun Usaha Lainnya","Medan Perjuangan, Medan","Rp 1,8 Miliar Total",Ruko,,3,,72 m²,64 m²
Rumah Daerah Wahidin Hunian Bahagia City Jalan Tangguk Bongkar 1,"Medan Denai, Medan",Rp 738 Juta,Rumah,3,1,1,108 m²,72 m²
Dijual rumah mewah di Padang Bulan Selayang I,"Medan Selayang, Medan","Rp 2,25 Miliar",Rumah,5,4,,225 m²,400 m²
Rumah Cantik Dan Kontrakan Daerah Medan Helvetia,"Medan Helvetia, Medan",Rp 2 Miliar,Rumah,3,2,1,294 m²,294 m²
Rumah Murah Sekitar Duyung,"Medan Perjuangan, Medan",Rp 450 Juta,Rumah,,,,56 m²,112 m²
Rumah 1 lt di Sempakata Medan,"Medan Selayang, Medan",Rp 883 Juta,Rumah,3,1,,327 m²,100 m²
Rumah Cantik Cluster Cempaka Indah Medan Selayang,"Medan Selayang, Medan",Rp 550 Juta,Rumah,2,1,1,98 m²,55 m²
Rumah Murah Promo Cash 395 Medan Marelan,"Medan Marelan, Medan",Rp 395 Juta,Rumah,2,1,1,84 m²,50 m²
Rumah Komplek Karya Quality Jalan Karya Setia Area Karya,"Medan Barat, Medan",Rp 720 Juta,Rumah,2,2,1,60 m²,48 m²
CONDOMINIUM 3 BEDROOM SEMI FURNISHED PODOMORO,"Medan Barat, Medan",Rp 5 Miliar,Apartemen,3,2,,,141 m²
For Sale Rumah Siap Huni Posisi Hook Jln Bajak 2 Rumah,"Medan Amplas, Medan",Rp 118 Miliar,Rumah,3,2,1,84 m²,84 m²
Ruko Bhayangkara Murah,"Medan Tembung, Medan","Rp 1,25 Miliar Total",Ruko,,,,92 m²,224 m²
Rumah Baru Komplek Tuasan Oakwood Jalan Tuasan Area Pancing,"Medan Tembung, Medan",Rp 995 Juta Total,Ruko,,3,,56 m²,138 m²
Brayan Bisnis Centre Siap Huni,"Medan Deli, Medan",Rp 700 Juta Total,Ruko,,,,72 m²,192 m²
Rumah Baru Komplek Setia Jadi One Jalan Setia Jadi Area Krakatau,"Medan Timur, Medan",Rp 750 Juta Total,Ruko,,2,,52 m²,108 m²
Ruko Baru Sutomo Lumiere Jalan Bambu Area Sutomo Ujung,"Medan Timur, Medan","Rp 1,45 Miliar Total",Ruko,,3,,136 m²,210 m²
Dijual Townhouse Di Komplek Krakatau Garden Harga Sangat Bersahabat,"Medan Perjuangan, Medan",Rp 700 Juta,Rumah,4,4,,60 m²,192 m²
Jual Ruko Komplek Tempuling Aurora Jalan Tempuling - Tuasan - Sutomo Ujung - Hm. Yamin - Medan,"Medan Tembung, Medan",Rp 950 Juta Total,Ruko,,1,,99 m²,346 m²
Rumah,"Medan Baru, Medan","Rp 14,5 Miliar",Rumah,4,3,,574 m²,350 m²
Rumah Strategis,"Medan Baru, Medan",Rp 6 Miliar,Rumah,4,4,,448 m²,350 m²
Rumah Komplek Sevilla Suit,"Medan Helvetia, Medan",Rp 950 Juta,Rumah,2,2,,64 m²,120 m²
Rumah Dekat Kampus,"Medan Sunggal, Medan",Rp 700 Juta,Rumah,3,3,,200 m²,100 m²
Rumah Siap Huni,"Johor, Medan",Rp 750 Juta,Rumah,2,2,,108 m²,72 m²
Rumah Jalan Garuda,"Medan Sunggal, Medan","Rp 1,1 Miliar",Rumah,3,3,,153 m²,153 m²
Rumah di Jalan Sei Berantas,"Medan Sunggal, Medan","Rp 2,7 Miliar",Rumah,4,2,,456 m²,180 m²
Rumah,"Medan Johor, Medan",Rp 500 Juta,Rumah,3,2,,200 m²,144 m²
Rumah Sei Denai,"Medan Baru, Medan","Rp 2,5 Miliar",Rumah,5,2,,320 m²,282 m²
Dijual Rumah Johor Jalan Karya Wisata J City Cluster J Crown,"Medan Johor, Medan","Rp 2,7 Miliar",Rumah,4,4,1,181 m²,121 m²
Dijual Ruko SHM Di Komplek Westin Jl Pukat VI,"Medan Tembung, Medan","Rp 1,57 Miliar Total",Ruko,,,,130 m²,220 m²
Dijual Rumah Johor J City Cluster J Crown Jalan Karya Wisata,"Medan Johor, Medan","Rp 2,7 Miliar",Rumah,4,4,1,181 m²,121 m²
"Rumah Murah Aset Mandiri, Kota Medan, Provinsi Sumatera Utara","Medan Marelan, Medan",Rp 121 Juta,Rumah,2,1,1,90 m²,66 m²
Rumah Hook J City Cluster J Crown Jalan Karya Wisata Daerah Johor,"Medan Johor, Medan","Rp 2,7 Miliar",Rumah,4,4,1,181 m²,121 m²
Rumah 2 Lantai Mulai 600 Jutaan Simp Selayang Rumah,"Medan Tuntungan, Medan",Rp 658 Juta,Rumah,3,2,1,96 m²,90 m²
Ruko Jalan Selamat Area Sutomo Ujung Krakatau,"Medan Timur, Medan","Rp 1,3 Miliar Total",Ruko,,4,,88 m²,64 m²
Ruko Gandeng Jalan Selamat Area Sutomo Ujung,"Medan Timur, Medan","Rp 1,8 Miliar Total",Ruko,,3,,95 m²,250 m²
RUKO UTAMA GEOJU MEDAN PERJUANGAN,"Medan Tembung, Medan",Rp 625 Juta Total,Ruko,,,,54 m²,144 m²
RUMAH PETAK JALAN JATI 3 MEDAN DENAI,"Medan Denai, Medan","Rp 9,5 Miliar",Rumah,3,3,,2790 m²,104 m²
"Dijual Apartemen Podomoro Tower Lincoln, Medan","Medan Barat, Medan","Rp 1,26 Miliar",Apartemen,1,1,,,32 m²
"Jual Ruko Jl.tilak Simpang Bakaran Batu , Kondisi Siap Huni","Medan Kota, Medan","Rp 2,2 Miliar Total",Ruko,,2,,96 m²,64 m²
Dijual Rumah Garden Vista Daerah Setia Budi Jalan Petunia Raya,"Medan Tuntungan, Medan",Rp 370 Juta,Rumah,1,2,1,72 m²,82 m²
"Jual Cepat Rumah Siap Huni, Jl. Belitung Medan","Medan Timur, Medan","Rp 1,8 Miliar",Rumah,6,4,1,110 m²,330 m²
Di Jual Rumah Komplek Daerah Tuasan Kota Medan,"Medan Tembung, Medan",Rp 880 Juta,Rumah,,3,,48 m²,110 m²
Ruko Gandeng Iskandar Muda,"Medan Baru, Medan",Rp 10 Miliar Total,Ruko,,,,194 m²,362 m²
Dijual Rumah Garden Vista Jalan Petunia Raya Daerah Jamin Ginting,"Medan Tuntungan, Medan",Rp 370 Juta,Rumah,1,2,1,72 m²,82 m²
"Di Jual roko 3 Lantai Hub: 082123510xxx Jl. Bunga Asoka Kelurahan Asam Kumbang Kecamatan,Medan Selayang Kota Medan Prop. Sumatera Utara","Medan Selayang, Medan","Rp 2,47 Miliar",Ruko,,2,,128 m²,342 m²
Rumah Daerah Setia Budi Komplek Garden Vista Jalan Petunia Raya,"Medan Tuntungan, Medan",Rp 370 Juta,Rumah,1,2,1,72 m²,82 m²
Rumah Petisah Jalan Notes Komplek Belmont W House Daerah Ayahanda,"Medan Petisah, Medan",Rp 800 Juta,Rumah,3,2,1,87 m²,98 m²
Ruko Bisnis 888 - Pandu - Medan Kota,"Medan Kota, Medan","Rp 4,3 Miliar Total",Ruko,,1,,68 m²,170 m²
Rumah Baru Belmont W House Jalan Notes Daerah Ayahanda,"Medan Petisah, Medan",Rp 800 Juta,Rumah,3,2,1,87 m²,98 m²
"Di Jual rumah Hunian yang asri dan nyaman, Hub:082123510xxx kecamatan Medan Timur, Prop Sumatera Utara","Medan Timur, Medan","Rp 3,67 Miliar",Rumah,3,3,2,590 m²,270 m²
Royal Condominium Super Murah,"Medan Kota, Medan",Rp 850 Juta,Apartemen,2,2,,,77 m²
Rumah Komplek Belmont W House Jalan Notes Daerah Ayahanda,"Medan Petisah, Medan",Rp 800 Juta,Rumah,1,2,1,87 m²,98 m²
Ruko Jl.cirebon Pusat Bisnis Medan,"Medan Kota, Medan",Rp 5 Miliar Total,Ruko,,2,,64 m²,64 m²
Ruko Siap Huni Laksana,"Medan Area, Medan","Rp 1,05 Miliar Total",Ruko,,,,60 m²,118 m²
Jual/sewa Apartment Podomoro,"Medan Kota, Medan","Rp 1,35 Miliar",Apartemen,2,1,,,56 m²
Jual Rumah Komplek Beverly Jalan Menteng 2 - Bromo - Ar. Hakim - Sutrisno - Medan,"Medan Denai, Medan",Rp 795 Juta,Rumah,1,1,,84 m²,210 m²
Ruko Jl. Bhayangkara-Bilal UjungLokasi Strategis Cocok Utk Usaha,"Medan Tembung, Medan","Rp 1,25 Miliar",Rumah,2,3,,192 m²,192 m²
Rumah Dijual,"Medan Barat, Medan",Rp 3 Miliar,Rumah,4,3,,335 m²,183 m²
Turun Harga Rumah 2 Lantai Di Royal Sumatera Sangat Aman & Nyaman,"Medan Tuntungan, Medan","Rp 1,9 Miliar",Rumah,3,4,2,200 m²,300 m²
Dijual Rumah Mewah Paling Murah Di Citra Wisata Medan Johor,"Medan Johor, Medan","Rp 2,9 Miliar",Rumah,4,5,3,280 m²,350 m²
Dijual Cepat Ruko Sikambing Sekip Adam Malik Medan,"Medan Petisah, Medan","Rp 1,35 Miliar Total",Ruko,,3,,80 m²,56 m²
Rumah Dijln Wahid Hasyim Area Medan Baru,"Medan Baru, Medan",Rp 13 Miliar,Rumah,1,1,1,810 m²,260 m²
Apartemen Podomoro Liberty,"Medan Kota, Medan","Rp 2,2 Miliar",Apartemen,3,2,,,93 m²
Dijual!!! Apartment The Reiz Condo,"Medan Barat, Medan",Rp 4 Miliar,Apartemen,2,1,,,100 m²
Tanah Bonus Rumah Dijln Rantang Medan Petisah,"Medan Petisah, Medan",Rp 9 Miliar,Rumah,4,5,1,815 m²,815 m²
Rumah Komplek Graha Gapertas Mas Jalan Gaperta Ujung,"Medan Helvetia, Medan",Rp 670 Juta,Rumah,3,2,1,104 m²,80 m²
"Apartment Manhattantower Queen Type B2","Medan Sunggal, Medan",Rp 4 Miliar,Apartemen,2,3,,,140 m²
Rumah Tinggal Setia Baru,"Medan Barat, Medan",Rp 850 Juta,Rumah,4,3,,60 m²,150 m²
Rumah Mewah Siap Huni Daerah Medan Johor,"Medan Johor, Medan","Rp 1,7 Miliar",Rumah,5,6,1,180 m²,180 m²
Rumah 3 Lantai Dijln Helvetia Area Medan Helvetia,"Medan Helvetia, Medan",Rp 650 Juta,Rumah,2,2,1,64 m²,144 m²
"Dijual Rumah Murah Dalam Komplek Setia Budi Ujung di jln setia budi ujung, Medan Selayang","Medan Selayang, Medan",Rp 400 Juta,Rumah,2,2,1,84 m²,60 m²
Ruko Gandeng 3 Bonus Gudang Jln Perdana Area Kota Medan Barat,"Medan Barat, Medan",Rp 9 Miliar Total,Ruko,,6,,303 m²,606 m²
Ruko Baru Jalan Suluh Komplek Darling House Sekitar Tempuling,"Medan Tembung, Medan",Rp 825 Juta Total,Ruko,,1,,72 m²,125 m²
Townhouse Murah 2 Lantai Lokasi Johor,"Johor, Medan",Rp 675 Juta,Rumah,3,2,,100 m²,80 m²
Ruko Komplek Darling House Jalan Suluh Sekitar Krakatau,"Medan Tembung, Medan",Rp 825 Juta Total,Ruko,,1,,72 m²,125 m²
Ruko Jalan Suluh Komplek Darling House Sekitar Pancing,"Medan Tembung, Medan",Rp 825 Juta Total,Ruko,,1,,72 m²,125 m²
Rumah 2 Unit Di Komplek Geoju Jln Durung,"Medan Tembung, Medan",Rp 675 Juta,Rumah,1,1,1,52 m²,84 m²
"Jual Cepat Ruko Komplek Katamso Dalam , di Jl. Brigjend Katamso, Kp. Baru, Kec. Medan Maimun, Kota Medan, Sumatera Utara, Medan Maimun","Medan Maimun, Medan","Rp 1,1 Miliar Total",Ruko,,2,,64 m²,64 m²
"Rumah Murah Aset Mandiri, Medan Denai, Sumatera Utara","Medan Denai, Medan","Rp 1,19 Miliar",Rumah,4,3,4,912 m²,240 m²
Rumah Petak Siap Huni Dekat Citraland Komplek Dempsey Permai,"Medan Tembung, Medan",Rp 485 Juta,Rumah,3,1,,65 m²,60 m²
Dijual Ruko Siap Huni Jalan Tirtosari 3 Tingkat Hadap Selatan,"Medan Tembung, Medan",Rp 595 Juta Total,Ruko,,2,,54 m²,36 m²
Dijual Ruko Jalan Tirtosari Daerah Tembung Siap Huni,"Medan Tembung, Medan",Rp 595 Juta Total,Ruko,,2,,54 m²,36 m²
Rumah Di Jln Ar Hakim Gg Tanjung Area Medan Kota,"Medan Kota, Medan",Rp 680 Juta Total,Ruko,,2,,48 m²,120 m²
Di Jual / Di Sewa Ruko Aksara  Siap Buka Usaha Lokasi Strategis,"Medan Tembung, Medan","Rp 1,5 Miliar",Rumah,3,4,,100 m²,192 m²
de' Bougainville Tuamang - Pancing kondisi Siap Huni,"Medan Tembung, Medan","Rp 1,1 Miliar",Rumah,3,4,,147 m²,147 m²
Rumah Komplek Sutrisno Area Medan Selatan,"Medan Area, Medan",Rp 700 Juta,Rumah,1,1,1,78 m²,100 m²
Rumah Di Jln Sampali Wahidin Area Medan,"Medan Area, Medan",Rp 1 Miliar,Rumah,3,3,1,112 m²,352 m²
PERUMAHAN JOHOR KATELIA INDAH JL. KARYA WISATA MEDAN JOHOR,"Medan Johor, Medan",Rp 700 Juta,Rumah,3,2,,160 m²,160 m²
JL. KARYA WISATA KOMPLEK PERUMAHAN JOHOR SIAP HUNI NONE FURNISHED MEDAN JOHOR,"Johor, Medan",Rp 980 Juta,Rumah,4,3,,192 m²,192 m²
"Jual Harga Terbaik Apartemen Grand Jati Junction Lantai 12 Kondisi Full Furnished, 3 Kamar Tidur","Medan Timur, Medan","Rp 2,35 Miliar",Apartemen,3,2,,,145 m²
Dijual Ruko Baru Jalan Tirtosari 3 Tingkat Daerah Tembung,"Medan Tembung, Medan",Rp 595 Juta Total,Ruko,,2,,54 m²,36 m²
Dijual Rumah Daerah Sunggal Komplek Taman Prima,"Medan Sunggal, Medan","Rp 1,2 Miliar",Rumah,5,3,1,126 m²,196 m²
Villa Polonia Medan Murah Dan Luas Di Jalan Taman Polonia,"Medan Polonia, Medan",Rp 8 Miliar,Rumah,5,5,1,260 m²,500 m²
Rumah jalan Meteorologi 3,"Medan Tembung, Medan","Rp 1,65 Miliar",Rumah,5,5,,270 m²,230 m²
Ruko 4 gandeng daerah jalan Krakatau,"Medan Timur, Medan",Rp 8 Miliar Total,Ruko,,6,,204 m²,408 m²
Ruko jalan Setiabudi,"Medan Sunggal, Medan","Rp 1,85 Miliar Total",Ruko,,3,,82 m²,204 m²
Rumah Mewah Dalam Komplek Medan Baru Rumah,"Medan Baru, Medan",Rp 27 Miliar,Rumah,4,5,3,144 m²,220 m²
Ruko Di Jln Sei Mencirim Area Medan Sunggal Paya Geli,"Medan Sunggal, Medan",Rp 1 Miliar Total,Ruko,,2,,100 m²,187 m²
Rumah Di Jln Budi Kemenangan Area Medan Barat,"Medan Barat, Medan","Rp 1,5 Miliar",Rumah,3,3,,128 m²,128 m²
"Jual Ruko Lokasi Prestisius Di Jl.kejaksaan Medan , Dekat Jalan S.parman","Medan Petisah, Medan","Rp 8,5 Miliar",Rumah,3,4,1,228 m²,180 m²
DIJUAL 2 RUMAH JALAN MENTENG 7 GANG HAJI,"Medan Denai, Medan",Rp 2 Miliar,Rumah,6,4,,500 m²,255 m²
Rumah Komplek Golden Palace Jln Luku 1 Medan Selayang,"Medan Selayang, Medan",Rp 670 Juta,Rumah,3,2,1,65 m²,130 m²
Ruko 3 Lantai Dijln Amal Area Medan Sunggal,"Medan Sunggal, Medan",Rp 1 Miliar,Ruko,,3,,86 m²,258 m²
DIJUAL VILLA JALAN BAHAGIA,"Medan Kota, Medan","Rp 2,7 Miliar",Rumah,10,8,,285 m²,360 m²
DIJUAL VILLA JALAN KRAKATAU KOMPLEK KRAKATAU PLATINUM POINT,"Medan Timur, Medan","Rp 2,2 Miliar",Rumah,3,3,,54 m²,162 m²
Dijual Ruko Jl Raya Menteng Siap Huni Cocok Untuk Usaha,"Medan Denai, Medan","Rp 1,1 Miliar Total",Ruko,,3,,108 m²,216 m²
APARTEMEN JALAN GATOT SUBROTO APARTEMEN MANHATTAN TOWER PRINCE,"Medan Sunggal, Medan","Rp 2,8 Miliar",Apartemen,2,2,,,105 m²
Dijual Ruko SHM Pinggir Jl Bambu Lokasi Strategis,"Medan Timur, Medan","Rp 1,65 Miliar Total",Ruko,,3,,80 m²,320 m²
Ruko Gandeng Dijln Pepaya Area Medan Baru,"Medan Barat, Medan","Rp 5,5 Miliar Total",Ruko,,27,,108 m²,434 m²
Rumah Di Jln Padang Golf Medan Polonia Fully Furnished,"Medan Polonia, Medan","Rp 4,88 Miliar",Rumah,5,4,1,385 m²,286 m²
Jual/sewa Gandeng Ruko Sutrisno,"Medan Area, Medan","Rp 2,1 Miliar Total",Ruko,,3,,88 m²,252 m²
Ruko Asia Mega Mas Strategis,"Medan Kota, Medan","Rp 2,8 Miliar Total",Ruko,,3,,60 m²,210 m²
Ruko Hm.yamin Mewah,"Medan Perjuangan, Medan","Rp 5,3 Miliar Total",Ruko,,3,,224 m²,539 m²
Ruko Serdang Bisnis,"Medan Perjuangan, Medan","Rp 2,8 Miliar Total",Ruko,,3,,224 m²,539 m²
Ruko Gandeng Mmtc,"Medan Tembung, Medan","Rp 4,35 Miliar Total",Ruko,,5,,94 m²,180 m²
Ruko Setia Budi Strategis,"Medan Sunggal, Medan","Rp 3,5 Miliar Total",Ruko,,5,,94 m²,180 m²
Guest House Apartemen Lokasi Strategis Daerah Medan Baru,"Medan Baru, Medan","Rp 9,75 Miliar",Rumah,11,11,1,1000 m²,1000 m²
Rumah Dalam Komplek Jln Yos Sudarso Km 6 Area Medan Barat,"Medan Barat, Medan",Rp 650 Juta,Rumah,3,4,1,127 m²,315 m²
Rumah Komplek Buwono Millenium Dijln Amal Luhur Medan Helvetia,"Medan Helvetia, Medan",Rp 720 Juta,Rumah,3,2,1,48 m²,128 m²
RUMAH KOMPLEK  POSISI HOOK JALAN MEDAN AREA SELATAN -SUTRISNO,"Medan Area, Medan",Rp 700 Juta,Rumah,1,1,,78 m²,100 m²
RUKO BISNIS LOKASI JALAN PAHLAWAN - SERDANG,"Medan Perjuangan, Medan","Rp 1,1 Miliar Total",Ruko,,3,,80 m²,280 m²
RUKO BISNIS LOKASI PINGGIR JALAN SEI MENCIRIM,"Medan Sunggal, Medan",Rp 1 Miliar Total,Ruko,,2,,100 m²,210 m²
RUKO GANDENG KAWASAN BISNIS JALAN RINGROAD,"Medan Sunggal, Medan",Rp 17 Juta Total,Ruko,,1,,464 m²,1392 m²
RUMAH DALAM KOMPLEK MEDAN JOHOR JALAN LUKU i,"Medan Johor, Medan",Rp 670 Juta,Rumah,3,2,,65 m²,100 m²
RUKO GANDENG DEKAT MILO KARAOKE JALAN PEPAYA,"Medan Barat, Medan","Rp 4,7 Miliar Total",Ruko,,27,,108 m²,434 m²
RUMAH  KOMPLEK BUWONO MILLENIUM JALAN AMAL LUHUR,"Medan Helvetia, Medan",Rp 720 Juta,Rumah,3,2,1,48 m²,128 m²
Jual Rumah Siapa Huni non Komplek Jl.Eka Warni,"Medan Johor, Medan",Rp 510 Juta,Rumah,3,2,,112 m²,96 m²
Jual Rumah Cantik 2 Lantai Jl.Eka Warni,"Medan Johor, Medan","Rp 1,2 Miliar",Rumah,3,2,,180 m²,108 m²
Jual rumah Jl.Kuali Medan (Ayahanda),"Medan Petisah, Medan","Rp 1,1 Miliar",Rumah,3,2,,62 m²,37 m²
Dijual Ruko di Komplek Mega Bisnis Center,"Medan Sunggal, Medan","Rp 4,9 Miliar Total",Ruko,,4,,228 m²,357 m²
RUMAH TINGGAL KAWASAN RAMAI,"Medan Area, Medan","Rp 1,95 Miliar",Rumah,4,4,1,69 m²,288 m²
MEDAN PERJUANGAN,"Medan Kota, Medan","Rp 2,7 Miliar",Rumah,5,4,,425 m²,300 m²
Dijual Rumah Baru Komplek Sekip Luxe Jalan Setia Baru,"Medan Barat, Medan",Rp 718 Juta,Rumah,2,2,1,40 m²,84 m²
Dijual Cepat Town House Gandeng Jalan Bilal Lokasi Strategis,"Medan Polonia, Medan","Rp 1,6 Miliar",Rumah,4,6,1,160 m²,448 m²
RUKO JALAN YOS SUDARSO / PUTRI HIJAU KOMPLEK L,"Medan Barat, Medan","Rp 1,5 Miliar Total",Ruko,,3,,72 m²,224 m²
Dijual Rumah Murah Jalan Abadi Komplek Regacy Setiabudi Permai,"Medan Sunggal, Medan",Rp 750 Juta,Rumah,3,2,1,112 m²,88 m²
DIJUAL APARTEMEN JALAN PUTRI HIJAU APARTMENT PODOMORO TOWER LINCOIN,"Medan Barat, Medan",Rp 950 Juta,Apartemen,1,1,,,42 m²
Dijual Murah Rumah Komplek Merci Fasilitas Lengkap Daerah Johor,"Medan Johor, Medan",Rp 950 Juta,Rumah,3,2,1,112 m²,112 m²
DIJUAL RUMAH JALAN AMAL GANG BERSAMA,"Medan Sunggal, Medan","Rp 1,5 Miliar",Rumah,3,2,,190 m²,193 m²
Dijual Ruko Gandeng di Jalan Jemadi  (Depan Mie Singapore) Medan,"Medan Timur, Medan","Rp 2,2 Miliar Total",Ruko,,,,168 m²,128 m²
RUMAH D. I. PANJAITAN MEDAN BARU,"Medan Baru, Medan",Rp 6 Miliar,Rumah,8,6,,393 m²,394 m²
Medan Estate Business Point,"Medan Tembung, Medan","Rp 1,88 Miliar Total",Ruko,,3,,128 m²,192 m²
Well estate jalan Perjuangan - Pancing,"Medan Perjuangan, Medan","Rp 1,41 Miliar Total",Ruko,,2,,86 m²,86 m²
Dijual Rumah Jalan Abadi Komplek Regacy Setiabudi Daerah Sunggal,"Medan Sunggal, Medan",Rp 750 Juta,Rumah,3,2,1,112 m²,88 m²
Dijual Rumah Sunggal Komplek Regacy Setiabudi Permai Jalan Abadi,"Medan Sunggal, Medan",Rp 750 Juta,Rumah,3,2,1,112 m²,88 m²
Dijual Rumah Komplek Regacy Setiabudi Jalan Abadi Daerah Sunggal,"Medan Sunggal, Medan",Rp 750 Juta,Rumah,3,2,1,112 m²,88 m²
RUKO CBD POLONIA SIAP HUNI MEDAN POLONIA,"Medan Polonia, Medan","Rp 1,9 Miliar Total",Ruko,,3,,64 m²,192 m²
RUMAH 1 TINGKAT MEDAN BARU,"Medan Baru, Medan",Rp 3 Miliar,Rumah,7,4,,449 m²,300 m²
RUMAH BUMI MARELAN PERMAI MEDAN MARELAN,"Marelan, Medan",Rp 850 Juta,Rumah,3,2,,327 m²,180 m²
"Rumah Murah Di Tanjung Selamat di jln tanjung selamat, Medan Tuntungan","Medan Tuntungan, Medan",Rp 305 Juta,Rumah,2,1,1,72 m²,48 m²
Hunian Eksklusif Fully Furnish Daerah Ringroad Sunggal,"Medan Sunggal, Medan","Rp 1,5 Miliar",Rumah,2,2,1,72 m²,144 m²
Terbatas Untuk Kamu Rumah Kosong Bebas Design Sesuka Kamu,"Medan Tembung, Medan","Rp 1,4 Miliar",Rumah,,,,88 m²,184 m²
Villa Mewah Komplek Beverly Daerah Medan Kota,"Medan Kota, Medan",Rp 795 Juta,Rumah,3,2,1,72 m²,90 m²
"Limited, Hunian Eksklusif Khusus Untuk Kamu Anak Setia Budi","Medan Selayang, Medan","Rp 1,2 Miliar",Rumah,3,3,,64 m²,132 m²
Terbatas Hanya untuk Kamu Hunian Strategis Dekat Setia Budi,"Medan Selayang, Medan","Rp 1,4 Miliar",Rumah,3,3,,64 m²,132 m²
Rumah Model Classic Di Kawasan Bisnis Bromo,"Medan Area, Medan","Rp 2,8 Miliar",Rumah,5,4,1,318 m²,271 m²
Rumah Minimalis Dalam Komplek Daerah Ringroad,"Medan Sunggal, Medan","Rp 1,3 Miliar",Rumah,5,3,,96 m²,144 m²
Rumah Murah 2 Lantai Dalam Komplek Medan Marelan,"Medan Marelan, Medan",Rp 725 Juta,Rumah,3,2,1,128 m²,100 m²
Hunian Strategis Dekat Perumahan Citraland Helvetia,"Medan Helvetia, Medan",Rp 990 Miliar,Rumah,3,3,2,90 m²,144 m²
Ruko Gandeng 3 Jl.Adi Sucipto Polonia,"Medan Polonia, Medan",Rp 5 Miliar Total,Ruko,,3,,572 m²,783 m²
Rumah 2 Lantai Setengah Jl Jermal,"Medan Baru, Medan","Rp 1,5 Miliar",Rumah,4,3,,312 m²,200 m²
Komplek The Cananga Jl.Perwura Utama,"Medan Helvetia, Medan","Rp 1,7 Miliar",Rumah,4,2,,140 m²,126 m²
Komplek Merci Amsterdam Medan Selayang,"Medan Selayang, Medan",Rp 800 Juta,Rumah,3,2,,84 m²,88 m²
"berada dipinggir jln lintas,  sangat cocok untuk usaha atau hunian","Medan Denai, Medan","Rp 1,8 Miliar",Rumah,3,2,1,450 m²,200 m²
RUKO SEI KERA PANDAU HILIR MEDAN PERJUANGAN,"Medan Perjuangan, Medan","Rp 2,6 Miliar Total",Ruko,,4,,120 m²,416 m²
